corte,semanas_entrenamiento,regimen,n,demanda_media,filas_ajuste,arboles,mae,sesgo
2026-03-19,8,ordinario,313,103.30670926517571,1016,107,29.27297810929271,-0.2817268920020935
2026-03-19,8,raro,17,26.41176470588235,1016,107,91.61752543729894,91.61752543729894
2026-03-19,10,ordinario,313,103.30670926517571,1350,105,28.286438457501202,2.0758161636206287
2026-03-19,10,raro,17,26.41176470588235,1350,105,20.70004306120031,18.0774725745706
2026-03-19,13,ordinario,313,103.30670926517571,1822,97,28.235445857428896,0.026198914256720496
2026-03-19,13,raro,17,26.41176470588235,1822,97,13.253927118637982,5.816255232867072
2026-03-19,26,ordinario,313,103.30670926517571,4043,225,29.02048918385856,6.71482937480695
2026-03-19,26,raro,17,26.41176470588235,4043,225,13.208623212926527,1.5506963168873507
2026-03-19,52,ordinario,313,103.30670926517571,8563,147,29.1628439053179,10.650879698439528
2026-03-19,52,raro,17,26.41176470588235,8563,147,14.105526868034811,5.094505983240464
2026-03-19,78,ordinario,313,103.30670926517571,13134,193,30.213540768851868,13.554158817084073
2026-03-19,78,raro,17,26.41176470588235,13134,193,13.98291228799259,5.354863447301528
2026-03-19,999,ordinario,313,103.30670926517571,17085,234,31.20001530875794,16.09817282460368
2026-03-19,999,raro,17,26.41176470588235,17085,234,13.64795550178079,5.367434782140395
2026-01-22,8,ordinario,339,107.22123893805309,973,79,28.62627288233214,-0.951289545469931
2026-01-22,10,ordinario,339,107.22123893805309,1302,109,28.41824412838196,1.6711572292631707
2026-01-22,13,ordinario,339,107.22123893805309,1818,76,28.324970470417213,3.919327108557597
2026-01-22,26,ordinario,339,107.22123893805309,4080,91,27.372423593976855,8.729260953830055
2026-01-22,52,ordinario,339,107.22123893805309,8639,160,27.911841631638968,11.629421487318732
2026-01-22,78,ordinario,339,107.22123893805309,13190,388,28.47433172917999,13.838895482651251
2026-01-22,999,ordinario,339,107.22123893805309,15735,216,28.816756296298497,15.578292300919165
2025-11-27,8,ordinario,318,122.54716981132076,1037,58,32.85111136406473,-6.109455774415214
2025-11-27,8,raro,12,30.833333333333332,1037,58,16.672528584798176,16.672528584798176
2025-11-27,10,ordinario,318,122.54716981132076,1391,66,31.963169895627964,-6.325152013286854
2025-11-27,10,raro,12,30.833333333333332,1391,66,11.579006512959799,11.460828145345053
2025-11-27,13,ordinario,318,122.54716981132076,1920,91,31.434419044158744,-6.055474311300793
2025-11-27,13,raro,12,30.833333333333332,1920,91,9.51728089650472,7.8800656000773115
2025-11-27,26,ordinario,318,122.54716981132076,4147,306,31.2637176123805,-6.7395683714428785
2025-11-27,26,raro,12,30.833333333333332,4147,306,10.204178015391031,3.169121583302816
2025-11-27,52,ordinario,318,122.54716981132076,8705,239,30.489748792828255,-1.4966103415819083
2025-11-27,52,raro,12,30.833333333333332,8705,239,8.078936020533243,0.9550526142120361
2025-11-27,78,ordinario,318,122.54716981132076,13307,215,30.623556874833017,3.239366321443762
2025-11-27,78,raro,12,30.833333333333332,13307,215,7.595604578653972,3.005899429321289
2025-11-27,999,ordinario,318,122.54716981132076,14433,220,30.128227113927686,4.056882018563132
2025-11-27,999,raro,12,30.833333333333332,14433,220,5.853907426198323,0.6100341478983561
2025-10-02,8,ordinario,324,118.90432098765432,1042,108,26.367293599211138,-2.939035009454798
2025-10-02,8,raro,15,32.4,1042,108,10.462412643432618,5.493136215209961
2025-10-02,10,ordinario,324,118.90432098765432,1387,160,26.37722698258765,-3.9982904269371504
2025-10-02,10,raro,15,32.4,1387,160,12.127627309163412,6.267882537841797
2025-10-02,13,ordinario,324,118.90432098765432,1899,188,26.21810390919815,-4.604664902628204
2025-10-02,13,raro,15,32.4,1899,188,12.306629689534505,5.7323554992675785
2025-10-02,26,ordinario,324,118.90432098765432,4170,103,25.397484973624902,-0.9210612038035452
2025-10-02,26,raro,15,32.4,4170,103,9.084982554117838,0.20523707071940103
2025-10-02,52,ordinario,324,118.90432098765432,8734,112,25.94472583134969,4.307736944269251
2025-10-02,52,raro,15,32.4,8734,112,9.97520497639974,4.221563720703125
2025-10-02,999,ordinario,324,118.90432098765432,13042,247,26.6989992753959,7.599439927089361
2025-10-02,999,raro,15,32.4,13042,247,11.555970382690429,3.817631149291992
2025-08-07,8,ordinario,301,114.80066445182725,1019,119,29.601582257850623,-3.509149139505684
2025-08-07,8,raro,35,34.6,1019,119,32.99138009207589,31.221539742606026
2025-08-07,10,ordinario,301,114.80066445182725,1369,258,29.38509661652321,-1.044258219063084
2025-08-07,10,raro,35,34.6,1369,258,18.84064222063337,14.896426282610213
2025-08-07,13,ordinario,301,114.80066445182725,1911,100,28.872692146174536,0.26150674914996885
2025-08-07,13,raro,35,34.6,1911,100,17.91288708278111,14.335522624424526
2025-08-07,26,ordinario,301,114.80066445182725,4219,114,28.07542626010223,1.8654472883357558
2025-08-07,26,raro,35,34.6,4219,114,12.042068808419364,4.469602966308594
2025-08-07,52,ordinario,301,114.80066445182725,8751,150,28.76502858285492,6.18002038619843
2025-08-07,52,raro,35,34.6,8751,150,10.58845945085798,2.7188054765973773
2025-08-07,999,ordinario,301,114.80066445182725,11655,161,29.601105084846978,9.278335742380136
2025-08-07,999,raro,35,34.6,11655,161,10.895737893240792,3.9656085423060827
2025-06-12,8,ordinario,325,114.55076923076923,1049,102,26.950577486478366,4.708132594181941
2025-06-12,8,raro,8,22.875,1049,102,24.684086799621582,24.684086799621582
2025-06-12,10,ordinario,325,114.55076923076923,1414,173,26.19288302201491,4.658867554297814
2025-06-12,10,raro,8,22.875,1414,173,26.851745128631592,26.851745128631592
2025-06-12,13,ordinario,325,114.55076923076923,1947,265,26.500121636023888,6.089846390944261
2025-06-12,13,raro,8,22.875,1947,265,20.48993492126465,20.48993492126465
2025-06-12,26,ordinario,325,114.55076923076923,4205,175,25.975341409536508,6.612090454101563
2025-06-12,26,raro,8,22.875,4205,175,11.634658098220825,10.77870774269104
2025-06-12,52,ordinario,325,114.55076923076923,8809,102,27.432001366248496,12.74840321467473
2025-06-12,52,raro,8,22.875,8809,102,16.144193649291992,16.144193649291992
2025-06-12,999,ordinario,325,114.55076923076923,10286,119,27.777306583111102,13.982396915142353
2025-06-12,999,raro,8,22.875,10286,119,15.363927364349365,15.363927364349365
