corte,semanas_entrenamiento,regimen,n,demanda_media,filas_ajuste,arboles,mae,sesgo
2026-03-19,8,ordinario,314,121.14012738853503,1031,138,34.823036048063045,-0.09410129231252488
2026-03-19,8,raro,18,26.333333333333332,1031,138,106.7758437262641,106.7758437262641
2026-03-19,10,ordinario,314,121.14012738853503,1369,132,31.256618001658445,0.9748623112964022
2026-03-19,10,raro,18,26.333333333333332,1369,132,18.38607374827067,16.1141996383667
2026-03-19,13,ordinario,314,121.14012738853503,1849,187,30.93907608955529,-1.000707164691512
2026-03-19,13,raro,18,26.333333333333332,1849,187,15.546291457282173,10.188677151997885
2026-03-19,26,ordinario,314,121.14012738853503,4100,109,31.35031953435035,7.100485850291647
2026-03-19,26,raro,18,26.333333333333332,4100,109,10.398559676276314,2.3419162962171765
2026-03-19,52,ordinario,314,121.14012738853503,8688,99,31.501492445635947,11.18241206855531
2026-03-19,52,raro,18,26.333333333333332,8688,99,10.84604443444146,4.063822110493978
2026-03-19,78,ordinario,314,121.14012738853503,13337,94,32.38597242391793,13.639162859339622
2026-03-19,78,raro,18,26.333333333333332,13337,94,12.75835747188992,7.087804900275336
2026-03-19,999,ordinario,314,121.14012738853503,17387,245,33.777718708014035,17.016828245418086
2026-03-19,999,raro,18,26.333333333333332,17387,245,11.040725919935438,4.963114420572917
2026-01-22,8,ordinario,339,129.78466076696165,987,122,31.681447189466088,-4.497793867173097
2026-01-22,10,ordinario,339,129.78466076696165,1326,145,30.31580384291027,-2.7370242228550192
2026-01-22,13,ordinario,339,129.78466076696165,1848,149,29.87077833417594,-0.14890226290992578
2026-01-22,26,ordinario,339,129.78466076696165,4152,102,29.44556863610372,4.93529293319117
2026-01-22,52,ordinario,339,129.78466076696165,8783,107,30.525544428192408,10.213576280261915
2026-01-22,78,ordinario,339,129.78466076696165,13410,138,30.97827639621971,11.897483381198219
2026-01-22,999,ordinario,339,129.78466076696165,16018,102,31.593289895746913,13.73964187036925
2025-11-27,8,ordinario,324,136.0030864197531,1046,110,33.26231881129889,-1.0518706286395039
2025-11-27,8,raro,11,26.181818181818183,1046,110,12.321536671031605,8.473813143643467
2025-11-27,10,ordinario,324,136.0030864197531,1405,181,32.95072802202201,0.1680130723081989
2025-11-27,10,raro,11,26.181818181818183,1405,181,12.807514537464488,5.244034507057884
2025-11-27,13,ordinario,324,136.0030864197531,1949,129,32.60609354207545,0.9187874911743917
2025-11-27,13,raro,11,26.181818181818183,1949,129,13.446502165360885,6.608962839299982
2025-11-27,26,ordinario,324,136.0030864197531,4210,149,32.79681522463575,1.3773768036453813
2025-11-27,26,raro,11,26.181818181818183,4210,149,11.516361756758256,5.343413439663974
2025-11-27,52,ordinario,324,136.0030864197531,8835,203,32.41546637334941,4.812082320083807
2025-11-27,52,raro,11,26.181818181818183,8835,203,11.608993703668768,9.44500715082342
2025-11-27,78,ordinario,324,136.0030864197531,13530,252,33.515398255100955,7.235249854900219
2025-11-27,78,raro,11,26.181818181818183,13530,252,11.00012241710316,9.37943475896662
2025-11-27,999,ordinario,324,136.0030864197531,14692,390,33.738087601131866,8.726368827584349
2025-11-27,999,raro,11,26.181818181818183,14692,390,11.245094472711736,9.16088884527033
2025-10-02,8,ordinario,328,137.98170731707316,1074,86,33.82454673836871,-0.871499323263401
2025-10-02,8,raro,16,32.1875,1074,86,17.634347438812256,11.79300832748413
2025-10-02,10,ordinario,328,137.98170731707316,1421,253,33.4989634781349,-1.3868236134691936
2025-10-02,10,raro,16,32.1875,1421,253,17.158965945243835,11.09643542766571
2025-10-02,13,ordinario,328,137.98170731707316,1951,208,32.982912703258236,-2.7203111881163062
2025-10-02,13,raro,16,32.1875,1951,208,15.067086696624756,10.316646099090576
2025-10-02,26,ordinario,328,137.98170731707316,4233,164,32.987613230216795,0.6405629704638225
2025-10-02,26,raro,16,32.1875,4233,164,12.070886015892029,4.688784956932068
2025-10-02,52,ordinario,328,137.98170731707316,8882,206,33.34609534682297,4.11585659515567
2025-10-02,52,raro,16,32.1875,8882,206,12.801082968711853,5.293402552604675
2025-10-02,999,ordinario,328,137.98170731707316,13287,489,34.43689430050733,7.811637669074826
2025-10-02,999,raro,16,32.1875,13287,489,12.825076460838318,4.483857274055481
2025-08-07,8,ordinario,312,135.90064102564102,1033,61,34.4170909906045,-9.261274741246151
2025-08-07,8,raro,36,38.833333333333336,1033,61,99.29137823316786,99.29137823316786
2025-08-07,10,ordinario,312,135.90064102564102,1384,72,32.87642988791833,-6.026060825739151
2025-08-07,10,raro,36,38.833333333333336,1384,72,26.41848373413086,19.843207677205402
2025-08-07,13,ordinario,312,135.90064102564102,1927,94,31.91334709143027,-3.6108373067317863
2025-08-07,13,raro,36,38.833333333333336,1927,94,21.02417802810669,12.4771622021993
2025-08-07,26,ordinario,312,135.90064102564102,4278,111,31.77165602415036,-1.6887201040219038
2025-08-07,26,raro,36,38.833333333333336,4278,111,22.203752040863037,13.747260676489937
2025-08-07,52,ordinario,312,135.90064102564102,8896,205,31.714566096281395,1.5841211049984663
2025-08-07,52,raro,36,38.833333333333336,8896,205,17.46711852815416,8.060820632510715
2025-08-07,999,ordinario,312,135.90064102564102,11866,127,32.27652755761758,3.9114736226888804
2025-08-07,999,raro,36,38.833333333333336,11866,127,15.242315239376492,6.418136649661594
2025-06-12,8,ordinario,320,140.8875,1057,75,32.37743176817894,4.731133621931076
2025-06-12,8,raro,5,28.8,1057,75,27.68998794555664,23.99570083618164
2025-06-12,10,ordinario,320,140.8875,1428,106,32.27155107855797,1.9726975977420806
2025-06-12,10,raro,5,28.8,1428,106,30.435253143310547,25.863402557373046
2025-06-12,13,ordinario,320,140.8875,1965,117,32.06234570741653,2.9944291949272155
2025-06-12,13,raro,5,28.8,1965,117,17.259847259521486,7.233176422119141
2025-06-12,26,ordinario,320,140.8875,4273,97,32.4471751511097,4.034092801809311
2025-06-12,26,raro,5,28.8,4273,97,19.422286987304688,8.343534851074219
2025-06-12,52,ordinario,320,140.8875,8958,184,33.72400798201561,9.638297611474991
2025-06-12,52,raro,5,28.8,8958,184,16.62217788696289,10.482854461669922
2025-06-12,999,ordinario,320,140.8875,10482,142,34.24355173110962,10.921281111240386
2025-06-12,999,raro,5,28.8,10482,142,19.918912506103517,13.625254058837891
