route,dia_op,tipo_dia,regimen,semanas_entrenamiento,n,demanda_media,filas_ajuste,arboles,mae,sesgo
1,2026-04-02,FESTIVO,raro,8,15,28.666666666666668,1013,137,93.18156077067057,93.18156077067057
1,2026-04-02,FESTIVO,raro,13,15,28.666666666666668,1827,114,19.32496032714844,17.25100173950195
1,2026-04-02,FESTIVO,raro,26,15,28.666666666666668,4025,74,13.063760884602864,5.901830800374349
1,2026-04-02,FESTIVO,raro,52,15,28.666666666666668,8549,137,15.65430056254069,5.814733759562174
1,2026-04-02,FESTIVO,raro,999,15,28.666666666666668,17421,226,15.456549326578775,5.4788368225097654
1,2026-04-03,FESTIVO,raro,8,8,21.0,1012,43,93.82846450805664,93.82846450805664
1,2026-04-03,FESTIVO,raro,13,8,21.0,1852,223,16.047462463378906,13.336005210876465
1,2026-04-03,FESTIVO,raro,26,8,21.0,4025,72,12.212393522262573,12.066981077194214
1,2026-04-03,FESTIVO,raro,52,8,21.0,8548,195,8.511821985244751,8.124539613723755
1,2026-04-03,FESTIVO,raro,999,8,21.0,17447,154,7.482204914093018,4.691023826599121
1,2026-04-04,SABADO,ordinario,8,22,56.36363636363637,1013,154,32.00003199143843,15.34799931266091
1,2026-04-04,SABADO,ordinario,13,22,56.36363636363637,1855,164,27.121781262484465,15.187023336237127
1,2026-04-04,SABADO,ordinario,26,22,56.36363636363637,4025,229,29.244122245094992,17.131082014604047
1,2026-04-04,SABADO,ordinario,52,22,56.36363636363637,8547,153,27.20242032137784,17.113582957874645
1,2026-04-04,SABADO,ordinario,999,22,56.36363636363637,17474,154,29.24295598810369,21.647789695046164
1,2026-04-05,DOMINGO,ordinario,8,11,24.727272727272727,1016,183,9.09944673018022,8.024722706187855
1,2026-04-05,DOMINGO,ordinario,13,11,24.727272727272727,1855,153,8.176511591131037,8.122807242653586
1,2026-04-05,DOMINGO,ordinario,26,11,24.727272727272727,4025,147,8.471087889237838,7.856799559159712
1,2026-04-05,DOMINGO,ordinario,52,11,24.727272727272727,8546,255,5.624172904274681,2.7014281532981177
1,2026-04-05,DOMINGO,ordinario,999,11,24.727272727272727,17499,266,6.85402809489857,1.4225887818769976
1,2026-04-06,LABORAL,ordinario,8,28,121.78571428571429,1017,180,27.198787008013046,-12.113274846758161
1,2026-04-06,LABORAL,ordinario,13,28,121.78571428571429,1858,310,26.85193681716919,-12.109710761478969
1,2026-04-06,LABORAL,ordinario,26,28,121.78571428571429,4023,131,26.682684625898087,-6.123342377798898
1,2026-04-06,LABORAL,ordinario,52,28,121.78571428571429,8545,207,25.437541348593577,0.6832055364336286
1,2026-04-06,LABORAL,ordinario,999,28,121.78571428571429,17515,238,27.23885910851615,6.4473780904497415
1,2026-04-07,LABORAL,ordinario,8,26,139.73076923076923,1007,222,28.90039165203388,-14.201810836791992
1,2026-04-07,LABORAL,ordinario,13,26,139.73076923076923,1848,130,30.173997438870945,-17.936849447397087
1,2026-04-07,LABORAL,ordinario,26,26,139.73076923076923,4014,197,26.21049998356746,-13.946792895977314
1,2026-04-07,LABORAL,ordinario,52,26,139.73076923076923,8535,210,23.858227949876053,-5.631989992581881
1,2026-04-07,LABORAL,ordinario,999,26,139.73076923076923,17532,198,24.322995992807243,-0.2813412592961238
1,2026-04-08,LABORAL,ordinario,8,26,126.11538461538461,1006,176,29.15312987107497,-6.95033939068134
1,2026-04-08,LABORAL,ordinario,13,26,126.11538461538461,1849,123,28.253862674419697,-7.349221009474534
1,2026-04-08,LABORAL,ordinario,26,26,126.11538461538461,4013,120,26.852945914635292,-4.289753106924204
1,2026-04-08,LABORAL,ordinario,52,26,126.11538461538461,8534,203,26.593441302959736,0.09565969613882211
1,2026-04-08,LABORAL,ordinario,999,26,126.11538461538461,17558,180,28.296556326059196,7.93348869910607
1,2026-04-09,LABORAL,ordinario,8,27,115.51851851851852,1006,165,35.54241724367495,-29.680160734388565
