corte,semanas_entrenamiento,regimen,n,demanda_media,filas_ajuste,arboles,mae,sesgo
2026-03-19,8,ordinario,313,103.30670926517571,1016,85,28.77102573382588,1.3094925560509434
2026-03-19,8,raro,17,26.41176470588235,1016,85,79.12459339815028,79.12459339815028
2026-03-19,10,ordinario,313,103.30670926517571,1350,231,28.418997024194883,1.7835434861838246
2026-03-19,10,raro,17,26.41176470588235,1350,231,19.69636894674862,11.009723663330078
2026-03-19,13,ordinario,313,103.30670926517571,1822,237,28.029249916442286,0.5992847601064859
2026-03-19,13,raro,17,26.41176470588235,1822,237,18.255405201631433,2.773746939266429
2026-03-19,26,ordinario,313,103.30670926517571,4043,237,28.221118037312177,4.06816876201203
2026-03-19,26,raro,17,26.41176470588235,4043,237,17.42773235545439,5.371343724867877
2026-03-19,52,ordinario,313,103.30670926517571,8563,131,29.781400369759947,13.42318345334964
2026-03-19,52,raro,17,26.41176470588235,8563,131,19.06112053815056,8.000491983750287
2026-03-19,78,ordinario,313,103.30670926517571,13134,246,28.618521553258926,8.960503983421448
2026-03-19,78,raro,17,26.41176470588235,13134,246,16.377585467170267,5.227774451760685
2026-03-19,999,ordinario,313,103.30670926517571,17085,316,29.52382528896149,9.164097728058934
2026-03-19,999,raro,17,26.41176470588235,17085,316,14.678883945240694,4.01068182552562
2026-01-22,8,ordinario,339,107.22123893805309,973,228,28.661067051170146,1.075769790154291
2026-01-22,10,ordinario,339,107.22123893805309,1302,281,28.679454471509366,0.024577965075287495
2026-01-22,13,ordinario,339,107.22123893805309,1818,133,28.3039481745357,1.1486615262551998
2026-01-22,26,ordinario,339,107.22123893805309,4080,117,26.69123393033458,-0.4781560813431191
2026-01-22,52,ordinario,339,107.22123893805309,8639,132,29.47050286464635,14.394972759010518
2026-01-22,78,ordinario,339,107.22123893805309,13190,529,28.3975220739314,9.842512395177971
2026-01-22,999,ordinario,339,107.22123893805309,15735,233,28.162317456045685,8.282915419181892
2025-11-27,8,ordinario,318,122.54716981132076,1037,149,31.624703611217953,-4.184770985969208
2025-11-27,8,raro,12,30.833333333333332,1037,149,19.00137710571289,18.69852574666341
2025-11-27,10,ordinario,318,122.54716981132076,1391,96,31.63164259352774,-6.225766817728679
2025-11-27,10,raro,12,30.833333333333332,1391,96,22.600407600402832,22.600407600402832
2025-11-27,13,ordinario,318,122.54716981132076,1920,121,31.014781987892007,-4.821900601656932
2025-11-27,13,raro,12,30.833333333333332,1920,121,24.186092058817547,24.186092058817547
2025-11-27,26,ordinario,318,122.54716981132076,4147,107,30.33104069427874,-5.0351754014597
