route,dia_op,tipo_dia,hora,real,pred_cnn_lstm,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,88.66786846174023,26.8
1,2026-04-02,FESTIVO,07:30,23.0,94.89078772987833,27.0
1,2026-04-02,FESTIVO,08:00,11.0,106.50741207426722,30.833333333333332
1,2026-04-02,FESTIVO,09:00,20.0,97.3778077536679,41.0
1,2026-04-02,FESTIVO,09:30,25.0,105.47395106410131,33.333333333333336
1,2026-04-02,FESTIVO,10:00,21.0,107.27942981494088,25.25
1,2026-04-02,FESTIVO,10:30,19.0,95.73746470260807,36.166666666666664
1,2026-04-02,FESTIVO,11:00,23.0,98.39408552886438,42.4
1,2026-04-02,FESTIVO,11:30,33.0,100.08341096124023,26.75
1,2026-04-02,FESTIVO,12:00,18.0,107.96534100038836,32.0
1,2026-04-02,FESTIVO,12:30,45.0,74.89372433209229,43.8
1,2026-04-02,FESTIVO,13:00,21.0,75.61626044501294,19.333333333333332
1,2026-04-02,FESTIVO,13:30,49.0,62.282092600929865,32.6
1,2026-04-02,FESTIVO,15:00,27.0,65.50190517932535,21.333333333333332
1,2026-04-02,FESTIVO,15:30,30.0,91.92782961120636,40.333333333333336
1,2026-04-03,FESTIVO,08:00,14.0,54.99860604188905,28.0
1,2026-04-03,FESTIVO,08:30,30.0,25.03731782662655,36.166666666666664
1,2026-04-03,FESTIVO,09:00,16.0,48.0982870973595,37.5
1,2026-04-03,FESTIVO,11:00,12.0,41.29290026501006,39.166666666666664
1,2026-04-03,FESTIVO,11:30,28.0,66.60413215996883,28.0
1,2026-04-03,FESTIVO,12:00,19.0,46.42603031454169,29.2
1,2026-04-03,FESTIVO,12:30,18.0,59.27462932681386,44.0
1,2026-04-03,FESTIVO,14:30,31.0,65.38738330580637,31.75
1,2026-04-04,SABADO,04:30,37.0,58.59819256158982,86.25490196078431
1,2026-04-04,SABADO,05:00,48.0,31.749213915419716,62.01960784313726
1,2026-04-04,SABADO,05:30,51.0,66.80827550408732,98.17307692307692
1,2026-04-04,SABADO,06:00,42.0,64.33628249438084,99.34615384615384
1,2026-04-04,SABADO,06:30,66.0,101.45850662805907,114.75
1,2026-04-04,SABADO,07:00,38.0,78.47104400703117,105.5
1,2026-04-04,SABADO,07:30,63.0,86.87962324696356,110.15384615384616
1,2026-04-04,SABADO,08:00,80.0,93.59363271934957,104.36538461538461
1,2026-04-04,SABADO,08:30,23.0,69.94845156911532,102.57692307692308
1,2026-04-04,SABADO,09:00,89.0,64.55928078381736,98.42307692307692
1,2026-04-04,SABADO,09:30,54.0,73.0655021945996,95.26923076923077
1,2026-04-04,SABADO,10:00,73.0,75.85820625702618,90.90384615384616
1,2026-04-04,SABADO,10:30,30.0,62.31864164070457,96.48
1,2026-04-04,SABADO,11:00,17.0,72.2752231076314,102.17307692307692
1,2026-04-04,SABADO,11:30,104.0,75.75419472340482,83.3529411764706
1,2026-04-04,SABADO,12:00,71.0,93.15751747682661,94.86274509803921
1,2026-04-04,SABADO,13:00,99.0,76.81408556730659,76.68085106382979
1,2026-04-04,SABADO,13:30,21.0,54.181243234982986,82.63265306122449
1,2026-04-04,SABADO,14:30,36.0,62.98109066515824,73.3921568627451
1,2026-04-04,SABADO,15:00,124.0,85.56111381330966,75.52
1,2026-04-04,SABADO,16:00,48.0,71.25109695765973,58.895833333333336
1,2026-04-04,SABADO,17:00,26.0,82.22253771325643,40.333333333333336
1,2026-04-05,DOMINGO,07:00,29.0,58.927940129876774,33.76190476190476
1,2026-04-05,DOMINGO,07:30,23.0,36.48002314875201,34.32608695652174
1,2026-04-05,DOMINGO,08:30,28.0,47.94691761178649,45.266666666666666
1,2026-04-05,DOMINGO,09:00,28.0,61.521454095212576,41.58974358974359
1,2026-04-05,DOMINGO,10:00,18.0,68.73895716690176,34.78260869565217
1,2026-04-05,DOMINGO,10:30,28.0,72.96570217461411,35.26829268292683
1,2026-04-05,DOMINGO,11:00,30.0,87.2585244017368,37.1578947368421
1,2026-04-05,DOMINGO,12:30,23.0,54.052104525742415,39.23684210526316
1,2026-04-05,DOMINGO,13:30,21.0,84.64414551701537,31.52777777777778
1,2026-04-05,DOMINGO,14:00,21.0,70.30318530634696,32.54545454545455
1,2026-04-05,DOMINGO,15:00,23.0,59.010589177105345,35.0
1,2026-04-06,LABORAL,04:30,135.0,118.56164205026846,127.56198347107438
1,2026-04-06,LABORAL,05:00,73.0,105.2548632670604,124.78423236514523
1,2026-04-06,LABORAL,05:30,183.0,129.08771986335657,143.33471074380165
1,2026-04-06,LABORAL,06:00,106.0,136.10519813465876,145.44214876033058
1,2026-04-06,LABORAL,06:30,160.0,126.87281769911152,133.298755186722
1,2026-04-06,LABORAL,07:00,157.0,131.77211470496144,133.65289256198346
1,2026-04-06,LABORAL,07:30,54.0,134.59382819222787,137.95454545454547
1,2026-04-06,LABORAL,08:00,165.0,129.3406479018485,135.87966804979254
1,2026-04-06,LABORAL,08:30,123.0,131.250669041835,138.09128630705393
1,2026-04-06,LABORAL,09:00,176.0,131.0667356723558,135.99585062240664
1,2026-04-06,LABORAL,09:30,155.0,108.85288431233657,123.4090909090909
1,2026-04-06,LABORAL,10:00,98.0,104.8586212670751,104.46280991735537
1,2026-04-06,LABORAL,10:30,80.0,93.16193417049205,98.14049586776859
1,2026-04-06,LABORAL,11:00,90.0,89.67691556250024,95.37603305785125
1,2026-04-06,LABORAL,11:30,84.0,100.97333169133307,101.76859504132231
1,2026-04-06,LABORAL,12:00,110.0,118.58840235468227,112.94628099173553
1,2026-04-06,LABORAL,12:30,165.0,131.74429220355023,136.1825726141079
1,2026-04-06,LABORAL,13:00,105.0,118.21308419147047,136.8512396694215
1,2026-04-06,LABORAL,13:30,192.0,146.9741690233135,147.03305785123968
1,2026-04-06,LABORAL,14:00,174.0,136.65559909538993,152.26666666666668
1,2026-04-06,LABORAL,14:30,113.0,142.1160810891904,159.24380165289256
1,2026-04-06,LABORAL,15:00,217.0,166.75377574252843,179.05371900826447
1,2026-04-06,LABORAL,15:30,135.0,155.22269350137503,182.33609958506224
1,2026-04-06,LABORAL,16:00,151.0,151.79182929044947,153.0954356846473
1,2026-04-06,LABORAL,16:30,118.0,92.34658405358886,126.92116182572614
1,2026-04-06,LABORAL,17:00,50.0,71.35081632632227,76.45689655172414
1,2026-04-06,LABORAL,17:30,20.0,26.524241786240097,39.70625
1,2026-04-06,LABORAL,18:00,21.0,12.526789462089255,21.4
1,2026-04-07,LABORAL,04:30,120.0,114.43610062045677,127.50826446280992
1,2026-04-07,LABORAL,05:00,126.0,128.59766038427566,124.6804979253112
