hora,media,desv,n,route
04:30,155.3,50.1,524,1
05:00,146.5,47.3,524,1
05:30,170.0,53.4,525,1
06:00,168.6,53.7,525,1
06:30,143.3,43.7,523,1
07:00,139.5,39.1,523,1
07:30,153.5,43.2,525,1
08:00,147.6,43.3,525,1
08:30,148.8,43.3,523,1
09:00,145.1,38.6,524,1
09:30,132.0,37.4,526,1
10:00,117.2,36.3,526,1
10:30,110.3,36.0,524,1
11:00,104.0,33.5,524,1
11:30,112.5,35.3,526,1
12:00,125.1,40.7,524,1
12:30,150.5,44.5,525,1
13:00,152.5,46.7,526,1
13:30,157.4,46.5,525,1
14:00,165.4,49.7,523,1
14:30,169.0,52.9,525,1
15:00,193.0,60.2,525,1
15:30,193.9,56.3,523,1
16:00,170.8,56.1,523,1
16:30,134.8,45.9,523,1
17:00,84.1,33.3,501,1
17:30,45.5,21.7,367,1
18:00,25.6,13.2,109,1
04:00,51.4,14.2,448,3
04:30,153.2,46.2,523,3
05:00,249.0,69.3,524,3
05:30,295.3,72.9,524,3
06:00,309.4,70.2,525,3
06:30,252.3,69.0,526,3
07:00,186.8,51.1,526,3
07:30,175.2,49.3,524,3
08:00,170.5,51.8,522,3
08:30,169.2,51.6,525,3
09:00,157.4,46.5,524,3
09:30,136.4,40.4,523,3
10:00,139.2,37.1,524,3
10:30,129.9,40.5,523,3
11:00,122.5,36.9,525,3
11:30,135.2,38.8,524,3
12:00,171.9,45.0,524,3
12:30,158.5,61.9,524,3
13:00,158.4,45.9,524,3
13:30,153.5,48.1,522,3
14:00,145.2,46.9,521,3
14:30,167.4,53.7,522,3
15:00,178.3,63.4,523,3
15:30,167.1,58.9,519,3
16:00,136.2,50.1,518,3
16:30,100.5,39.5,514,3
17:00,63.6,28.7,461,3
17:30,35.4,18.6,265,3
18:00,21.1,10.6,57,3
