route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
1,2026-04-02,FESTIVO,15,12.546312,16.483515,15.08155771891276,13.563035074869791,1.518522644042969,-8.146498107910157,-8.263245646158854,353,318,383,348,2.967323699966073,2.0476536999922246,0.5005130767822266,0.12007912993431091,0.045210304087615075
1,2026-04-03,FESTIVO,8,12.5669,19.780218,9.260791778564453,7.943138122558594,1.3176536560058594,7.621131896972656,4.508586883544922,417,312,447,342,2.5707891000201926,2.029612599988468,0.48692864179611206,0.11940392106771469,0.05701729862994956
1,2026-04-04,SABADO,22,12.556606,24.450546,23.108914982188832,32.132421320134945,-9.023506337946113,-0.42921777205033734,10.6445048939098,357,60,387,90,1.9688484000507742,0.37713080004323274,0.4865701496601105,0.15418322384357452,0.09301424471058801
1,2026-04-05,DOMINGO,11,12.474269,22.802198,7.907010165127841,17.11678626320579,-9.209776098077949,7.907010165127841,17.052478790283203,344,60,374,90,1.560251499991864,0.3474195000017062,0.5017911195755005,0.20455798506736755,0.10747017622280577
1,2026-04-06,LABORAL,28,12.5874815,24.450546,26.933670043945312,27.0466183253697,-0.11294828142438718,2.0914764404296875,-1.1595001220703125,291,285,321,315,1.2949968000175431,1.2617794999387115,0.4954863488674164,0.2304595410823822,0.13083462363841505
1,2026-04-07,LABORAL,26,12.690407,23.901098,26.254449697641228,27.73734899667593,-1.4828992990347025,-11.829085716834435,-14.517911764291616,338,313,368,343,1.3862835000036284,1.379245200078003,0.4969719350337982,0.20806749165058136,0.1162141138828014
1,2026-04-08,LABORAL,26,12.710995,23.901098,28.4718624995305,29.463658259465145,-0.9917957599346465,4.730113983154297,4.780738243689904,365,387,395,417,1.6491599000291899,2.3617495000362396,0.4923538565635681,0.2059730887413025,0.11613391691220062
1,2026-04-09,LABORAL,27,12.721282,23.901098,27.72663300125687,30.08445146348741,-2.35781846223054,4.914244616473162,7.023706789369936,351,60,381,90,2.09041950001847,0.4799592000199482,0.49985331296920776,0.20615671575069427,0.11468164502041173
1,2026-04-10,LABORAL,26,12.74187,23.901098,34.258923310499924,30.333935810969425,3.9249874995304985,-26.647723711453953,-20.998127717238205,88,71,118,101,0.8424003999680281,0.5972656999947503,0.5878756046295166,0.5893259644508362,0.2394594559347234
1,2026-04-11,SABADO,24,12.74187,23.626375,24.898070971171062,36.61834303538004,-11.72027206420898,9.494155565897623,20.38649845123291,335,59,365,89,2.2332287000026554,0.5938008999219164,0.49622175097465515,0.21904805302619934,0.12015051662033524
1,2026-04-12,DOMINGO,8,12.700701,20.329672,3.6869964599609375,9.117110252380371,-5.430113792419434,2.178447723388672,6.6619672775268555,364,60,394,90,1.5980213999282569,0.38017140002921224,0.5079286098480225,0.23819096386432648,0.10687334667955523
1,2026-04-13,LABORAL,27,12.865376,25.274723,30.62578300193504,30.16226026746962,0.46352273446542114,12.33809718379268,5.010586208767361,451,334,481,364,2.2253118000226095,1.7206055000424385,0.4786367416381836,0.23452630639076233,0.142169375766003
