route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,24.765457,26.8,26.8
1,2026-04-02,FESTIVO,07:30,23.0,22.817749,27.0,27.0
1,2026-04-02,FESTIVO,08:00,11.0,20.900063,30.833333333333332,30.833333333333332
1,2026-04-02,FESTIVO,09:00,20.0,20.957123,41.0,41.0
1,2026-04-02,FESTIVO,09:30,25.0,21.344162,33.333333333333336,33.333333333333336
1,2026-04-02,FESTIVO,10:00,21.0,22.091415,25.25,25.25
1,2026-04-02,FESTIVO,10:30,19.0,23.299988,36.166666666666664,36.166666666666664
1,2026-04-02,FESTIVO,11:00,23.0,26.368713,42.4,42.4
1,2026-04-02,FESTIVO,11:30,33.0,29.851585,26.75,26.75
1,2026-04-02,FESTIVO,12:00,18.0,33.57038,32.0,32.0
1,2026-04-02,FESTIVO,12:30,45.0,34.64456,43.8,43.8
1,2026-04-02,FESTIVO,13:00,21.0,35.41217,19.333333333333332,19.333333333333332
1,2026-04-02,FESTIVO,13:30,49.0,36.36463,32.6,32.6
1,2026-04-02,FESTIVO,15:00,27.0,36.031403,21.333333333333332,21.333333333333332
1,2026-04-02,FESTIVO,15:30,30.0,31.6128,40.333333333333336,40.333333333333336
1,2026-04-03,FESTIVO,08:00,14.0,17.365974,28.0,28.0
1,2026-04-03,FESTIVO,08:30,30.0,19.932709,36.166666666666664,36.166666666666664
1,2026-04-03,FESTIVO,09:00,16.0,22.043633,37.5,37.5
1,2026-04-03,FESTIVO,11:00,12.0,34.109566,39.166666666666664,39.166666666666664
1,2026-04-03,FESTIVO,11:30,28.0,38.627243,28.0,28.0
1,2026-04-03,FESTIVO,12:00,19.0,42.3527,29.2,29.2
1,2026-04-03,FESTIVO,12:30,18.0,45.005165,44.0,44.0
1,2026-04-03,FESTIVO,14:30,31.0,48.129402,31.75,31.75
1,2026-04-04,SABADO,04:30,37.0,54.917664,54.91766357421875,86.25490196078431
1,2026-04-04,SABADO,05:00,48.0,64.53552,64.5355224609375,62.01960784313726
1,2026-04-04,SABADO,05:30,51.0,72.6633,72.66329956054688,98.17307692307692
1,2026-04-04,SABADO,06:00,42.0,79.62337,79.62336730957031,99.34615384615384
1,2026-04-04,SABADO,06:30,66.0,84.356125,84.35612487792969,114.75
1,2026-04-04,SABADO,07:00,38.0,86.46678,86.46678161621094,105.5
1,2026-04-04,SABADO,07:30,63.0,87.034485,87.03448486328125,110.15384615384616
1,2026-04-04,SABADO,08:00,80.0,86.958305,86.95830535888672,104.36538461538461
1,2026-04-04,SABADO,08:30,23.0,85.48294,85.48294067382812,102.57692307692308
1,2026-04-04,SABADO,09:00,89.0,84.28071,84.28070831298828,98.42307692307692
1,2026-04-04,SABADO,09:30,54.0,83.31099,83.31098937988281,95.26923076923077
1,2026-04-04,SABADO,10:00,73.0,82.53204,82.53204345703125,90.90384615384616
1,2026-04-04,SABADO,10:30,30.0,81.85986,81.85986328125,96.48
1,2026-04-04,SABADO,11:00,17.0,80.9435,80.94349670410156,102.17307692307692
1,2026-04-04,SABADO,11:30,104.0,80.056076,80.05607604980469,83.3529411764706
1,2026-04-04,SABADO,12:00,71.0,79.86781,79.86781311035156,94.86274509803921
1,2026-04-04,SABADO,13:00,99.0,76.868195,76.86819458007812,76.68085106382979
1,2026-04-04,SABADO,13:30,21.0,72.56551,72.56551361083984,82.63265306122449
1,2026-04-04,SABADO,14:30,36.0,63.080975,63.08097457885742,73.3921568627451
1,2026-04-04,SABADO,15:00,124.0,57.358852,57.35885238647461,75.52
1,2026-04-04,SABADO,16:00,48.0,42.414948,42.414947509765625,58.895833333333336
1,2026-04-04,SABADO,17:00,26.0,24.160309,24.160308837890625,40.333333333333336
1,2026-04-05,DOMINGO,07:00,29.0,28.969795,28.96979522705078,33.76190476190476
1,2026-04-05,DOMINGO,07:30,23.0,29.71608,29.716079711914062,34.32608695652174
1,2026-04-05,DOMINGO,08:30,28.0,30.566376,30.566375732421875,45.266666666666666
1,2026-04-05,DOMINGO,09:00,28.0,31.050247,31.050247192382812,41.58974358974359
1,2026-04-05,DOMINGO,10:00,18.0,33.96601,33.96601104736328,34.78260869565217
1,2026-04-05,DOMINGO,10:30,28.0,35.509743,35.509742736816406,35.26829268292683
1,2026-04-05,DOMINGO,11:00,30.0,37.035683,37.035682678222656,37.1578947368421
1,2026-04-05,DOMINGO,12:30,23.0,40.77836,40.778358459472656,39.23684210526316
1,2026-04-05,DOMINGO,13:30,21.0,41.170067,41.170066833496094,31.52777777777778
1,2026-04-05,DOMINGO,14:00,21.0,40.95166,40.95166015625,32.54545454545455
1,2026-04-05,DOMINGO,15:00,23.0,38.297333,38.297332763671875,35.0
1,2026-04-06,LABORAL,04:30,135.0,122.768814,122.76881408691406,127.56198347107438
1,2026-04-06,LABORAL,05:00,73.0,127.13471,127.13471221923828,124.78423236514523
