route,dia_op,tipo_dia,hora,real,pred_grilla
1,2026-04-02,FESTIVO,07:00,65.0,38.081566
1,2026-04-02,FESTIVO,07:30,23.0,20.855927
1,2026-04-02,FESTIVO,08:00,11.0,31.26941
1,2026-04-02,FESTIVO,09:00,20.0,48.907543
1,2026-04-02,FESTIVO,09:30,25.0,26.7723
1,2026-04-02,FESTIVO,10:00,21.0,27.727997
1,2026-04-02,FESTIVO,10:30,19.0,33.515076
1,2026-04-02,FESTIVO,11:00,23.0,26.344666
1,2026-04-02,FESTIVO,11:30,33.0,37.638542
1,2026-04-02,FESTIVO,12:00,18.0,29.580307
1,2026-04-02,FESTIVO,12:30,45.0,51.315514
1,2026-04-02,FESTIVO,13:00,21.0,17.299294
1,2026-04-02,FESTIVO,13:30,49.0,21.941368
1,2026-04-02,FESTIVO,15:00,27.0,46.135086
1,2026-04-02,FESTIVO,15:30,30.0,55.318493
1,2026-04-03,FESTIVO,08:00,14.0,52.489338
1,2026-04-03,FESTIVO,08:30,30.0,46.143578
1,2026-04-03,FESTIVO,09:00,16.0,50.161667
1,2026-04-03,FESTIVO,11:00,12.0,55.999264
1,2026-04-03,FESTIVO,11:30,28.0,46.53248
1,2026-04-03,FESTIVO,12:00,19.0,45.23419
1,2026-04-03,FESTIVO,12:30,18.0,58.302597
1,2026-04-03,FESTIVO,14:30,31.0,47.22319
1,2026-04-04,SABADO,04:30,37.0,97.53176
1,2026-04-04,SABADO,05:00,48.0,51.8634
1,2026-04-04,SABADO,05:30,51.0,85.602104
1,2026-04-04,SABADO,06:00,42.0,101.118614
1,2026-04-04,SABADO,06:30,66.0,123.075134
1,2026-04-04,SABADO,07:00,38.0,115.59355
1,2026-04-04,SABADO,07:30,63.0,107.59323
1,2026-04-04,SABADO,08:00,80.0,106.82801
1,2026-04-04,SABADO,08:30,23.0,108.836754
1,2026-04-04,SABADO,09:00,89.0,90.86879
1,2026-04-04,SABADO,09:30,54.0,111.058846
1,2026-04-04,SABADO,10:00,73.0,88.59886
1,2026-04-04,SABADO,10:30,30.0,95.59982
1,2026-04-04,SABADO,11:00,17.0,96.337685
1,2026-04-04,SABADO,11:30,104.0,82.14359
1,2026-04-04,SABADO,12:00,71.0,100.81461
1,2026-04-04,SABADO,13:00,99.0,66.00633
1,2026-04-04,SABADO,13:30,21.0,89.964096
1,2026-04-04,SABADO,14:30,36.0,52.187946
1,2026-04-04,SABADO,15:00,124.0,73.39827
1,2026-04-04,SABADO,16:00,48.0,38.243828
1,2026-04-04,SABADO,17:00,26.0,29.123314
1,2026-04-05,DOMINGO,07:00,29.0,36.352577
1,2026-04-05,DOMINGO,07:30,23.0,47.461716
1,2026-04-05,DOMINGO,08:30,28.0,46.649376
1,2026-04-05,DOMINGO,09:00,28.0,46.869736
1,2026-04-05,DOMINGO,10:00,18.0,33.76066
1,2026-04-05,DOMINGO,10:30,28.0,48.40351
1,2026-04-05,DOMINGO,11:00,30.0,50.150105
1,2026-04-05,DOMINGO,12:30,23.0,54.71934
