route,dia_op,tipo_dia,hora,real,pred_lstm,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,56.36609688325814,108.66842709529277
1,2026-04-02,FESTIVO,07:30,23.0,55.86582760932816,108.66842709529277
1,2026-04-02,FESTIVO,08:00,11.0,53.37445853908966,26.0
1,2026-04-02,FESTIVO,09:00,20.0,59.81992580394099,20.0
1,2026-04-02,FESTIVO,09:30,25.0,60.09145920322691,16.0
1,2026-04-02,FESTIVO,10:00,21.0,48.01623788910981,108.66842709529277
1,2026-04-02,FESTIVO,10:30,19.0,50.09782633330701,16.0
1,2026-04-02,FESTIVO,11:00,23.0,55.71862718211754,108.66842709529277
1,2026-04-02,FESTIVO,11:30,33.0,58.66240883015405,23.0
1,2026-04-02,FESTIVO,12:00,18.0,46.755510750759946,108.66842709529277
1,2026-04-02,FESTIVO,12:30,45.0,33.429045945213545,27.0
1,2026-04-02,FESTIVO,13:00,21.0,49.718523382787986,108.66842709529277
1,2026-04-02,FESTIVO,13:30,49.0,56.71585427227488,33.0
1,2026-04-02,FESTIVO,15:00,27.0,42.541742147464376,108.66842709529277
1,2026-04-02,FESTIVO,15:30,30.0,62.980727511916285,108.66842709529277
1,2026-04-03,FESTIVO,08:00,14.0,53.373027934909075,18.5
1,2026-04-03,FESTIVO,08:30,30.0,18.905863759082678,24.0
1,2026-04-03,FESTIVO,09:00,16.0,60.765506791681624,20.0
1,2026-04-03,FESTIVO,11:00,12.0,27.004945378632797,23.0
1,2026-04-03,FESTIVO,11:30,28.0,54.01038902969969,28.0
1,2026-04-03,FESTIVO,12:00,19.0,29.808289130815794,18.0
1,2026-04-03,FESTIVO,12:30,18.0,37.38654540501017,36.0
1,2026-04-03,FESTIVO,14:30,31.0,43.48869034455879,24.0
1,2026-04-04,SABADO,04:30,37.0,71.5602457727826,75.56
1,2026-04-04,SABADO,05:00,48.0,52.51386642287667,59.8
1,2026-04-04,SABADO,05:30,51.0,79.62503829737328,96.34615384615384
1,2026-04-04,SABADO,06:00,42.0,69.47551413927872,94.76923076923077
1,2026-04-04,SABADO,06:30,66.0,85.86068715645125,108.03846153846153
1,2026-04-04,SABADO,07:00,38.0,113.28673615056576,106.84615384615384
1,2026-04-04,SABADO,07:30,63.0,90.56998105615722,105.65384615384616
1,2026-04-04,SABADO,08:00,80.0,128.1471708133878,102.84615384615384
1,2026-04-04,SABADO,08:30,23.0,74.19081726833866,100.5
1,2026-04-04,SABADO,09:00,89.0,79.99169609005745,95.5
1,2026-04-04,SABADO,09:30,54.0,89.4146463147485,93.65384615384616
1,2026-04-04,SABADO,10:00,73.0,74.37907893157538,75.03846153846153
1,2026-04-04,SABADO,10:30,30.0,74.77322933082048,94.0
1,2026-04-04,SABADO,11:00,17.0,63.99617954717547,92.34615384615384
1,2026-04-04,SABADO,11:30,104.0,69.72926875714381,82.6
1,2026-04-04,SABADO,12:00,71.0,107.97230482731788,87.46153846153847
1,2026-04-04,SABADO,13:00,99.0,78.73940939027258,64.45454545454545
1,2026-04-04,SABADO,13:30,21.0,55.92154901198339,71.44
1,2026-04-04,SABADO,14:30,36.0,64.24976902591328,75.15384615384616
1,2026-04-04,SABADO,15:00,124.0,90.0619947518371,64.29166666666667
1,2026-04-04,SABADO,16:00,48.0,61.278744870667566,59.34782608695652
1,2026-04-04,SABADO,17:00,26.0,80.01324062990415,42.57142857142857
1,2026-04-05,DOMINGO,07:00,29.0,34.27402475247443,34.73913043478261
1,2026-04-05,DOMINGO,07:30,23.0,12.336002115358554,31.291666666666668
1,2026-04-05,DOMINGO,08:30,28.0,41.483018616675565,46.791666666666664
1,2026-04-05,DOMINGO,09:00,28.0,40.553838497280594,35.76470588235294
1,2026-04-05,DOMINGO,10:00,18.0,32.07096463283747,35.333333333333336
1,2026-04-05,DOMINGO,10:30,28.0,31.265456207401726,35.86363636363637
1,2026-04-05,DOMINGO,11:00,30.0,37.46185722490192,36.526315789473685
1,2026-04-05,DOMINGO,12:30,23.0,30.068029240260756,37.95238095238095
1,2026-04-05,DOMINGO,13:30,21.0,48.783475782652694,30.27777777777778
1,2026-04-05,DOMINGO,14:00,21.0,33.54601758028264,37.0
1,2026-04-05,DOMINGO,15:00,23.0,32.504312247402055,39.36842105263158
1,2026-04-06,LABORAL,04:30,135.0,112.84145471909908,115.16666666666667
1,2026-04-06,LABORAL,05:00,73.0,108.20048552988655,116.84873949579831
1,2026-04-06,LABORAL,05:30,183.0,110.45093563084617,133.30833333333334
1,2026-04-06,LABORAL,06:00,106.0,135.9732049052338,133.025
1,2026-04-06,LABORAL,06:30,160.0,128.8724793935519,132.0
1,2026-04-06,LABORAL,07:00,157.0,117.98801081868753,130.04166666666666
1,2026-04-06,LABORAL,07:30,54.0,128.68977558652296,133.91666666666666
1,2026-04-06,LABORAL,08:00,165.0,99.75460081520892,128.96638655462183
1,2026-04-06,LABORAL,08:30,123.0,123.32105596612801,131.94117647058823
1,2026-04-06,LABORAL,09:00,176.0,126.03036622728078,135.76470588235293
1,2026-04-06,LABORAL,09:30,155.0,104.23361402718386,121.23333333333333
1,2026-04-06,LABORAL,10:00,98.0,96.57254806035931,97.26666666666667
1,2026-04-06,LABORAL,10:30,80.0,74.10779379702015,96.45833333333333
1,2026-04-06,LABORAL,11:00,90.0,81.97328070782146,93.625
1,2026-04-06,LABORAL,11:30,84.0,91.67432658395468,100.1
1,2026-04-06,LABORAL,12:00,110.0,98.63425808414812,110.70833333333333
1,2026-04-06,LABORAL,12:30,165.0,128.406043980561,130.91666666666666
1,2026-04-06,LABORAL,13:00,105.0,124.78012603157205,138.9
1,2026-04-06,LABORAL,13:30,192.0,146.4053209798237,135.725
1,2026-04-06,LABORAL,14:00,174.0,148.96318343884022,148.25423728813558
1,2026-04-06,LABORAL,14:30,113.0,143.32367004881885,150.93333333333334
1,2026-04-06,LABORAL,15:00,217.0,181.82486328943182,168.26666666666668
1,2026-04-06,LABORAL,15:30,135.0,180.28885477857165,174.56302521008402
1,2026-04-06,LABORAL,16:00,151.0,149.48289543891258,143.21848739495798
1,2026-04-06,LABORAL,16:30,118.0,98.0504240968988,115.16806722689076
1,2026-04-06,LABORAL,17:00,50.0,64.13695723817017,71.71818181818182
1,2026-04-06,LABORAL,17:30,20.0,24.151668669501007,37.36538461538461
1,2026-04-06,LABORAL,18:00,21.0,17.21546162515105,25.647058823529413
1,2026-04-07,LABORAL,04:30,120.0,107.39640753216332,115.45833333333333
1,2026-04-07,LABORAL,05:00,126.0,114.86618492217022,116.40336134453781
1,2026-04-07,LABORAL,05:30,137.0,134.14216543700792,133.83333333333334
1,2026-04-07,LABORAL,06:00,143.0,129.74207450446397,132.66666666666666
1,2026-04-07,LABORAL,06:30,134.0,123.97934582076907,131.91666666666666
1,2026-04-07,LABORAL,07:00,107.0,138.85891459188528,130.05833333333334
1,2026-04-07,LABORAL,07:30,187.0,132.18827048482873,133.125
1,2026-04-07,LABORAL,08:00,164.0,125.0101876344773,129.1596638655462
