route,dia_op,tipo_dia,hora,real,pred_lstm,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,13.671639036004933,26.8
1,2026-04-02,FESTIVO,07:30,23.0,35.073613235877815,27.0
1,2026-04-02,FESTIVO,08:00,11.0,16.374712674743705,30.833333333333332
1,2026-04-02,FESTIVO,09:00,20.0,18.082506610470617,41.0
1,2026-04-02,FESTIVO,09:30,25.0,23.47936782389101,33.333333333333336
1,2026-04-02,FESTIVO,10:00,21.0,15.646325377515765,25.25
1,2026-04-02,FESTIVO,10:30,19.0,4.784850027938219,36.166666666666664
1,2026-04-02,FESTIVO,11:00,23.0,21.37790260921784,42.4
1,2026-04-02,FESTIVO,11:30,33.0,17.029331993208956,26.75
1,2026-04-02,FESTIVO,12:00,18.0,24.925011994162134,32.0
1,2026-04-02,FESTIVO,12:30,45.0,5.179118956681947,43.8
1,2026-04-02,FESTIVO,13:00,21.0,19.3326357545307,19.333333333333332
1,2026-04-02,FESTIVO,13:30,49.0,12.242163541974506,32.6
1,2026-04-02,FESTIVO,15:00,27.0,16.426875292011488,21.333333333333332
1,2026-04-02,FESTIVO,15:30,30.0,41.30765328868782,40.333333333333336
1,2026-04-03,FESTIVO,08:00,14.0,27.184658716576394,28.0
1,2026-04-03,FESTIVO,08:30,30.0,21.03619208942041,36.166666666666664
1,2026-04-03,FESTIVO,09:00,16.0,22.353972763234538,37.5
1,2026-04-03,FESTIVO,11:00,12.0,26.7504981597298,39.166666666666664
1,2026-04-03,FESTIVO,11:30,28.0,32.90162799425107,28.0
1,2026-04-03,FESTIVO,12:00,19.0,13.130053522742969,29.2
1,2026-04-03,FESTIVO,12:30,18.0,16.81554105690863,44.0
1,2026-04-03,FESTIVO,14:30,31.0,37.874644733508035,31.75
1,2026-04-04,SABADO,04:30,37.0,44.358196982715626,86.25490196078431
1,2026-04-04,SABADO,05:00,48.0,35.12756885188523,62.01960784313726
1,2026-04-04,SABADO,05:30,51.0,45.006928613794884,98.17307692307692
1,2026-04-04,SABADO,06:00,42.0,70.1536958614663,99.34615384615384
1,2026-04-04,SABADO,06:30,66.0,47.870651873310536,114.75
1,2026-04-04,SABADO,07:00,38.0,51.1409747161785,105.5
1,2026-04-04,SABADO,07:30,63.0,56.67373372044985,110.15384615384616
1,2026-04-04,SABADO,08:00,80.0,45.52685472327522,104.36538461538461
1,2026-04-04,SABADO,08:30,23.0,80.46247260656114,102.57692307692308
1,2026-04-04,SABADO,09:00,89.0,54.70319727255985,98.42307692307692
1,2026-04-04,SABADO,09:30,54.0,53.59243174516072,95.26923076923077
1,2026-04-04,SABADO,10:00,73.0,48.74748691028447,90.90384615384616
1,2026-04-04,SABADO,10:30,30.0,58.7013601947533,96.48
1,2026-04-04,SABADO,11:00,17.0,65.2406582067542,102.17307692307692
1,2026-04-04,SABADO,11:30,104.0,66.69010697875416,83.3529411764706
1,2026-04-04,SABADO,12:00,71.0,63.980329773489714,94.86274509803921
1,2026-04-04,SABADO,13:00,99.0,69.95860725333286,76.68085106382979
1,2026-04-04,SABADO,13:30,21.0,52.777634622455956,82.63265306122449
1,2026-04-04,SABADO,14:30,36.0,107.98108626606489,73.3921568627451
1,2026-04-04,SABADO,15:00,124.0,97.755157763831,75.52
1,2026-04-04,SABADO,16:00,48.0,125.0364324414214,58.895833333333336
1,2026-04-04,SABADO,17:00,26.0,132.6937565730689,40.333333333333336
1,2026-04-05,DOMINGO,07:00,29.0,28.646303263333778,33.76190476190476
1,2026-04-05,DOMINGO,07:30,23.0,25.001850350914495,34.32608695652174
1,2026-04-05,DOMINGO,08:30,28.0,29.161909000031443,45.266666666666666
1,2026-04-05,DOMINGO,09:00,28.0,58.93266293257555,41.58974358974359
1,2026-04-05,DOMINGO,10:00,18.0,35.456360469901,34.78260869565217
1,2026-04-05,DOMINGO,10:30,28.0,41.59591426428234,35.26829268292683
1,2026-04-05,DOMINGO,11:00,30.0,45.54479891050181,37.1578947368421
1,2026-04-05,DOMINGO,12:30,23.0,35.99565070968505,39.23684210526316
1,2026-04-05,DOMINGO,13:30,21.0,71.24037647961143,31.52777777777778
1,2026-04-05,DOMINGO,14:00,21.0,47.909353067118616,32.54545454545455
1,2026-04-05,DOMINGO,15:00,23.0,40.09212133820506,35.0
1,2026-04-06,LABORAL,04:30,135.0,123.13596534016884,127.56198347107438
1,2026-04-06,LABORAL,05:00,73.0,108.88228767415809,124.78423236514523
1,2026-04-06,LABORAL,05:30,183.0,136.2173000310598,143.33471074380165
1,2026-04-06,LABORAL,06:00,106.0,141.80495364059544,145.44214876033058
1,2026-04-06,LABORAL,06:30,160.0,129.78865275112884,133.298755186722
1,2026-04-06,LABORAL,07:00,157.0,132.9533981055635,133.65289256198346
1,2026-04-06,LABORAL,07:30,54.0,143.41941926833042,137.95454545454547
1,2026-04-06,LABORAL,08:00,165.0,130.48520046610085,135.87966804979254
1,2026-04-06,LABORAL,08:30,123.0,137.75376798773945,138.09128630705393
1,2026-04-06,LABORAL,09:00,176.0,134.7146009535439,135.99585062240664
1,2026-04-06,LABORAL,09:30,155.0,115.69346626926708,123.4090909090909
1,2026-04-06,LABORAL,10:00,98.0,108.37283023590444,104.46280991735537
1,2026-04-06,LABORAL,10:30,80.0,93.34485989689824,98.14049586776859
1,2026-04-06,LABORAL,11:00,90.0,96.43959812566558,95.37603305785125
1,2026-04-06,LABORAL,11:30,84.0,102.12382020391127,101.76859504132231
