metodo,route,n,demanda_media,mae,rmse,wape,sesgo,mape_parcial,n_mape
SARIMA,1,1483,100.98,46.44,59.87,45.99,-20.03,57.98,1481
SARIMA,3,1555,117.85,60.9,82.3,51.68,-32.93,68.64,1553
Prophet,1,1483,100.98,28.08,35.54,27.81,0.86,39.35,1481
Prophet,3,1555,117.85,32.53,42.81,27.61,-0.09,38.19,1553
XGBoost,1,1483,100.98,27.11,34.98,26.85,2.97,36.49,1481
XGBoost,3,1555,117.85,30.1,40.13,25.54,2.44,35.21,1553
LSTM,1,1483,100.98,28.91,37.33,28.63,2.94,40.4,1481
LSTM,3,1555,117.85,33.18,44.34,28.15,5.98,42.13,1553
CNN-LSTM,1,1483,100.98,30.78,39.58,30.48,5.35,48.33,1481
CNN-LSTM,3,1555,117.85,35.04,47.2,29.73,5.88,46.69,1553
Referencia,1,1483,100.98,27.12,34.92,26.85,6.24,38.56,1481
Referencia,3,1555,117.85,29.93,40.03,25.4,6.49,38.55,1553
