metodo,route,regimen,n,demanda_media,mae,rmse,wape,sesgo,mape_parcial,n_mape
SARIMA,1,ordinario,1422,104.05,46.71,60.23,44.89,-22.46,53.38,1420
SARIMA,1,raro,61,29.36,40.07,50.57,136.48,36.49,165.0,61
SARIMA,3,ordinario,1485,122.03,61.64,83.29,50.51,-36.08,64.05,1485
SARIMA,3,raro,70,29.34,45.28,57.31,154.3,33.82,168.77,68
Prophet,1,ordinario,1422,104.05,28.59,36.04,27.47,1.16,38.56,1420
Prophet,1,raro,61,29.36,16.35,20.37,55.69,-6.15,57.8,61
Prophet,3,ordinario,1485,122.03,33.38,43.57,27.36,0.12,37.93,1485
Prophet,3,raro,70,29.34,14.56,21.01,49.63,-4.58,43.92,68
XGBoost,1,ordinario,1422,104.05,27.71,35.58,26.63,2.89,35.69,1420
XGBoost,1,raro,61,29.36,13.08,15.79,44.56,4.7,55.22,61
XGBoost,3,ordinario,1485,122.03,30.94,40.95,25.36,2.34,34.69,1485
XGBoost,3,raro,70,29.34,12.13,14.36,41.33,4.44,46.59,68
LSTM,1,ordinario,1422,104.05,29.03,37.38,27.9,2.35,37.46,1420
LSTM,1,raro,61,29.36,26.04,36.16,88.69,16.73,108.83,61
LSTM,3,ordinario,1485,122.03,32.63,42.97,26.74,4.63,36.7,1485
LSTM,3,raro,70,29.34,44.86,67.13,152.87,34.52,160.51,68
CNN-LSTM,1,ordinario,1422,104.05,29.53,38.16,28.38,3.02,38.95,1420
CNN-LSTM,1,raro,61,29.36,59.83,64.32,203.77,59.67,266.57,61
CNN-LSTM,3,ordinario,1485,122.03,33.63,44.39,27.56,3.5,37.94,1485
CNN-LSTM,3,raro,70,29.34,65.04,87.61,221.66,56.25,237.83,68
Referencia,1,ordinario,1422,104.05,27.28,34.9,26.22,6.12,36.36,1420
Referencia,1,raro,61,29.36,23.28,35.4,79.29,9.01,89.84,61
Referencia,3,ordinario,1485,122.03,30.07,39.86,24.64,6.18,35.11,1485
Referencia,3,raro,70,29.34,27.01,43.49,92.06,12.96,113.66,68
