metodo,route,tipo_dia,n,demanda_media,mae,rmse,wape,sesgo,mape_parcial,n_mape
SARIMA,1,DOMINGO,97,31.03,22.23,26.58,71.64,17.52,92.67,97
SARIMA,1,FESTIVO,40,30.55,55.8,61.83,182.65,54.85,229.27,40
SARIMA,1,FESTIVO_PUENTE,21,27.1,10.11,12.12,37.33,1.51,42.58,21
SARIMA,1,LABORAL,1084,117.15,50.27,64.57,42.91,-34.77,44.8,1083
SARIMA,1,SABADO,241,74.53,40.58,48.71,54.45,16.84,76.22,240
SARIMA,3,DOMINGO,110,30.9,53.64,65.63,173.6,51.31,207.92,110
SARIMA,3,FESTIVO,48,29.81,59.36,68.16,199.12,54.93,226.72,46
SARIMA,3,FESTIVO_PUENTE,22,28.32,14.55,17.75,51.36,-12.25,47.61,22
SARIMA,3,LABORAL,1131,138.32,66.79,90.28,48.28,-52.6,49.25,1131
SARIMA,3,SABADO,244,87.57,41.39,50.04,47.26,1.12,67.79,244
Prophet,1,DOMINGO,97,31.03,18.73,23.29,60.35,4.85,69.76,97
Prophet,1,FESTIVO,40,30.55,15.54,19.63,50.86,-5.54,53.66,40
Prophet,1,FESTIVO_PUENTE,21,27.1,17.9,21.7,66.05,-7.32,65.68,21
Prophet,1,LABORAL,1084,117.15,29.64,37.42,25.3,0.72,32.94,1083
Prophet,1,SABADO,241,74.53,27.83,33.92,37.34,1.64,51.28,240
Prophet,3,DOMINGO,110,30.9,16.67,21.94,53.95,4.9,62.69,110
Prophet,3,FESTIVO,48,29.81,16.32,23.44,54.73,-2.13,46.86,46
Prophet,3,FESTIVO_PUENTE,22,28.32,10.74,14.35,37.91,-9.91,37.79,22
Prophet,3,LABORAL,1131,138.32,35.81,46.2,25.89,-0.52,34.57,1131
Prophet,3,SABADO,244,87.57,29.66,37.99,33.88,0.91,42.33,244
XGBoost,1,DOMINGO,97,31.03,11.43,14.12,36.85,2.8,44.09,97
XGBoost,1,FESTIVO,40,30.55,12.41,15.83,40.62,1.48,48.65,40
XGBoost,1,FESTIVO_PUENTE,21,27.1,14.37,15.72,53.04,10.83,67.75,21
XGBoost,1,LABORAL,1084,117.15,29.93,37.94,25.55,2.67,33.0,1083
XGBoost,1,SABADO,241,74.53,24.31,30.2,32.62,3.94,44.42,240
XGBoost,3,DOMINGO,110,30.9,10.62,13.9,34.37,2.02,37.96,110
XGBoost,3,FESTIVO,48,29.81,13.05,15.31,43.79,4.26,49.6,46
XGBoost,3,FESTIVO_PUENTE,22,28.32,10.11,12.02,35.69,4.84,40.3,22
XGBoost,3,LABORAL,1131,138.32,33.85,43.98,24.47,1.89,32.7,1131
XGBoost,3,SABADO,244,87.57,26.62,33.93,30.4,4.61,42.43,244
LSTM,1,DOMINGO,97,31.03,13.14,17.34,42.33,3.68,50.39,97
LSTM,1,FESTIVO,40,30.55,21.31,27.65,69.75,11.25,78.72,40
LSTM,1,FESTIVO_PUENTE,21,27.1,35.05,48.39,129.36,27.16,166.18,21
LSTM,1,LABORAL,1084,117.15,30.86,39.18,26.34,1.9,33.64,1083
LSTM,1,SABADO,241,74.53,27.2,34.89,36.5,3.83,49.44,240
LSTM,3,DOMINGO,110,30.9,10.97,14.12,35.49,2.11,38.74,110
LSTM,3,FESTIVO,48,29.81,43.54,61.86,146.05,30.53,143.59,46
LSTM,3,FESTIVO_PUENTE,22,28.32,47.72,77.38,168.52,43.22,195.88,22
LSTM,3,LABORAL,1131,138.32,36.03,46.45,26.04,5.55,35.41,1131
LSTM,3,SABADO,244,87.57,26.63,33.81,30.41,1.54,41.77,244
CNN-LSTM,1,DOMINGO,97,31.03,15.2,20.6,48.99,6.37,59.71,97
CNN-LSTM,1,FESTIVO,40,30.55,55.42,60.08,181.41,55.17,237.61,40
CNN-LSTM,1,FESTIVO_PUENTE,21,27.1,68.23,71.71,251.81,68.23,321.72,21
CNN-LSTM,1,LABORAL,1084,117.15,31.07,40.09,26.52,0.99,33.69,1083
CNN-LSTM,1,SABADO,241,74.53,28.41,34.51,38.11,10.8,54.32,240
CNN-LSTM,3,DOMINGO,110,30.9,14.94,26.6,48.35,6.78,52.96,110
CNN-LSTM,3,FESTIVO,48,29.81,45.18,64.93,151.53,33.16,143.29,46
CNN-LSTM,3,FESTIVO_PUENTE,22,28.32,108.39,123.39,382.76,106.63,435.5,22
CNN-LSTM,3,LABORAL,1131,138.32,37.08,47.68,26.81,2.89,35.71,1131
CNN-LSTM,3,SABADO,244,87.57,26.06,33.68,29.76,4.86,41.49,244
Referencia,1,DOMINGO,97,31.03,11.91,14.61,38.37,4.97,48.01,97
Referencia,1,FESTIVO,40,30.55,28.32,42.02,92.69,13.23,110.02,40
Referencia,1,FESTIVO_PUENTE,21,27.1,13.68,16.64,50.5,0.97,51.4,21
Referencia,1,LABORAL,1084,117.15,29.23,37.04,24.95,6.15,33.21,1083
Referencia,1,SABADO,241,74.53,24.69,30.52,33.13,6.44,45.86,240
Referencia,3,DOMINGO,110,30.9,10.1,12.88,32.68,3.17,37.36,110
Referencia,3,FESTIVO,48,29.81,33.33,50.09,111.8,17.28,144.83,46
Referencia,3,FESTIVO_PUENTE,22,28.32,13.22,23.33,46.7,3.55,48.51,22
Referencia,3,LABORAL,1131,138.32,32.94,42.8,23.81,6.05,33.27,1131
Referencia,3,SABADO,244,87.57,25.8,33.25,29.46,8.14,42.58,244
