route,dia_op,tipo_dia,hora,real,pred_prophet,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,31.731352266082645,108.66842709529277
1,2026-04-02,FESTIVO,07:30,23.0,31.33240499312111,108.66842709529277
1,2026-04-02,FESTIVO,08:00,11.0,28.5137350019454,26.0
1,2026-04-02,FESTIVO,09:00,20.0,18.2713530244567,20.0
1,2026-04-02,FESTIVO,09:30,25.0,12.525565057530486,16.0
1,2026-04-02,FESTIVO,10:00,21.0,7.452842892450008,108.66842709529277
1,2026-04-02,FESTIVO,10:30,19.0,3.7537007521997197,16.0
1,2026-04-02,FESTIVO,11:00,23.0,2.014010589409679,108.66842709529277
1,2026-04-02,FESTIVO,11:30,33.0,2.6859353944019517,23.0
1,2026-04-02,FESTIVO,12:00,18.0,6.031161505373063,108.66842709529277
1,2026-04-02,FESTIVO,12:30,45.0,12.01676802323938,27.0
1,2026-04-02,FESTIVO,13:00,21.0,20.183233506723468,108.66842709529277
1,2026-04-02,FESTIVO,13:30,49.0,29.530410936243975,33.0
1,2026-04-02,FESTIVO,15:00,27.0,46.71065196325077,108.66842709529277
1,2026-04-02,FESTIVO,15:30,30.0,41.55853815343107,108.66842709529277
1,2026-04-03,FESTIVO,08:00,14.0,36.60318401013633,18.5
1,2026-04-03,FESTIVO,08:30,30.0,32.38429852706706,24.0
1,2026-04-03,FESTIVO,09:00,16.0,27.15271542388963,20.0
1,2026-04-03,FESTIVO,11:00,12.0,12.186229950523753,23.0
1,2026-04-03,FESTIVO,11:30,28.0,13.154761689527788,28.0
1,2026-04-03,FESTIVO,12:00,19.0,16.779492235787345,18.0
1,2026-04-03,FESTIVO,12:30,18.0,23.003999599157794,36.0
1,2026-04-03,FESTIVO,14:30,31.0,56.07160632033875,24.0
1,2026-04-04,SABADO,04:30,37.0,88.3685386571585,75.56
1,2026-04-04,SABADO,05:00,48.0,91.00438447635474,59.8
1,2026-04-04,SABADO,05:30,51.0,95.25685682028265,96.34615384615384
1,2026-04-04,SABADO,06:00,42.0,99.50414651491084,94.76923076923077
1,2026-04-04,SABADO,06:30,66.0,102.38855507189551,108.03846153846153
1,2026-04-04,SABADO,07:00,38.0,103.03129767585615,106.84615384615384
1,2026-04-04,SABADO,07:30,63.0,101.10752191107575,105.65384615384616
1,2026-04-04,SABADO,08:00,80.0,96.79762791261719,102.84615384615384
1,2026-04-04,SABADO,08:30,23.0,90.65740581642089,100.5
1,2026-04-04,SABADO,09:00,89.0,83.45942014984568,95.5
1,2026-04-04,SABADO,09:30,54.0,76.05088791492406,93.65384615384616
1,2026-04-04,SABADO,10:00,73.0,69.25350763451301,75.03846153846153
1,2026-04-04,SABADO,10:30,30.0,63.80624613194911,94.0
1,2026-04-04,SABADO,11:00,17.0,60.33182703217484,92.34615384615384
1,2026-04-04,SABADO,11:30,104.0,59.298600540363665,82.6
1,2026-04-04,SABADO,12:00,71.0,60.95464494577814,87.46153846153847
