route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
1,2026-04-02,FESTIVO,07:00,65.0,40.883575,108.66842709529277
1,2026-04-02,FESTIVO,07:30,23.0,39.16282,108.66842709529277
1,2026-04-02,FESTIVO,08:00,11.0,34.346855,26.0
1,2026-04-02,FESTIVO,09:00,20.0,36.246696,20.0
1,2026-04-02,FESTIVO,09:30,25.0,31.792368,16.0
1,2026-04-02,FESTIVO,10:00,21.0,29.513914,108.66842709529277
1,2026-04-02,FESTIVO,10:30,19.0,26.00057,16.0
1,2026-04-02,FESTIVO,11:00,23.0,26.793524,108.66842709529277
1,2026-04-02,FESTIVO,11:30,33.0,29.027681,23.0
1,2026-04-02,FESTIVO,12:00,18.0,27.853174,108.66842709529277
1,2026-04-02,FESTIVO,12:30,45.0,33.638523,27.0
1,2026-04-02,FESTIVO,13:00,21.0,45.084255,108.66842709529277
1,2026-04-02,FESTIVO,13:30,49.0,34.735744,33.0
1,2026-04-02,FESTIVO,15:00,27.0,42.099037,108.66842709529277
1,2026-04-02,FESTIVO,15:30,30.0,41.348724,108.66842709529277
1,2026-04-03,FESTIVO,08:00,14.0,34.737686,18.5
1,2026-04-03,FESTIVO,08:30,30.0,35.732048,24.0
1,2026-04-03,FESTIVO,09:00,16.0,37.553356,20.0
1,2026-04-03,FESTIVO,11:00,12.0,25.883373,23.0
1,2026-04-03,FESTIVO,11:30,28.0,27.41835,28.0
1,2026-04-03,FESTIVO,12:00,19.0,28.354765,18.0
1,2026-04-03,FESTIVO,12:30,18.0,32.175194,36.0
1,2026-04-03,FESTIVO,14:30,31.0,42.681076,24.0
1,2026-04-04,SABADO,04:30,37.0,56.852108,75.56
1,2026-04-04,SABADO,05:00,48.0,60.861324,59.8
1,2026-04-04,SABADO,05:30,51.0,79.12609,96.34615384615384
1,2026-04-04,SABADO,06:00,42.0,73.45997,94.76923076923077
1,2026-04-04,SABADO,06:30,66.0,91.23567,108.03846153846153
1,2026-04-04,SABADO,07:00,38.0,64.0595,106.84615384615384
1,2026-04-04,SABADO,07:30,63.0,86.74195,105.65384615384616
1,2026-04-04,SABADO,08:00,80.0,94.56915,102.84615384615384
1,2026-04-04,SABADO,08:30,23.0,83.57895,100.5
1,2026-04-04,SABADO,09:00,89.0,88.3351,95.5
1,2026-04-04,SABADO,09:30,54.0,71.223785,93.65384615384616
1,2026-04-04,SABADO,10:00,73.0,69.21965,75.03846153846153
1,2026-04-04,SABADO,10:30,30.0,78.47804,94.0
1,2026-04-04,SABADO,11:00,17.0,99.15492,92.34615384615384
1,2026-04-04,SABADO,11:30,104.0,79.14888,82.6
1,2026-04-04,SABADO,12:00,71.0,83.163414,87.46153846153847
1,2026-04-04,SABADO,13:00,99.0,59.112305,64.45454545454545
1,2026-04-04,SABADO,13:30,21.0,62.810734,71.44
1,2026-04-04,SABADO,14:30,36.0,80.81338,75.15384615384616
1,2026-04-04,SABADO,15:00,124.0,61.13338,64.29166666666667
1,2026-04-04,SABADO,16:00,48.0,46.807243,59.34782608695652
1,2026-04-04,SABADO,17:00,26.0,46.998253,42.57142857142857
1,2026-04-05,DOMINGO,07:00,29.0,33.529644,34.73913043478261
1,2026-04-05,DOMINGO,07:30,23.0,29.072691,31.291666666666668
1,2026-04-05,DOMINGO,08:30,28.0,39.35504,46.791666666666664
1,2026-04-05,DOMINGO,09:00,28.0,37.019283,35.76470588235294
1,2026-04-05,DOMINGO,10:00,18.0,32.297104,35.333333333333336
1,2026-04-05,DOMINGO,10:30,28.0,28.728207,35.86363636363637
1,2026-04-05,DOMINGO,11:00,30.0,26.621414,36.526315789473685
1,2026-04-05,DOMINGO,12:30,23.0,36.427246,37.95238095238095
1,2026-04-05,DOMINGO,13:30,21.0,26.357319,30.27777777777778
1,2026-04-05,DOMINGO,14:00,21.0,29.59304,37.0
1,2026-04-05,DOMINGO,15:00,23.0,39.423805,39.36842105263158
1,2026-04-06,LABORAL,04:30,135.0,112.75957,115.16666666666667
1,2026-04-06,LABORAL,05:00,73.0,118.90413,116.84873949579831
1,2026-04-06,LABORAL,05:30,183.0,135.9534,133.30833333333334
1,2026-04-06,LABORAL,06:00,106.0,120.35045,133.025
1,2026-04-06,LABORAL,06:30,160.0,129.53423,132.0
1,2026-04-06,LABORAL,07:00,157.0,131.31873,130.04166666666666
1,2026-04-06,LABORAL,07:30,54.0,120.028244,133.91666666666666
1,2026-04-06,LABORAL,08:00,165.0,136.10014,128.96638655462183
1,2026-04-06,LABORAL,08:30,123.0,128.4625,131.94117647058823
1,2026-04-06,LABORAL,09:00,176.0,122.28047,135.76470588235293
1,2026-04-06,LABORAL,09:30,155.0,121.65367,121.23333333333333
1,2026-04-06,LABORAL,10:00,98.0,106.3241,97.26666666666667
1,2026-04-06,LABORAL,10:30,80.0,102.44236,96.45833333333333
1,2026-04-06,LABORAL,11:00,90.0,105.74906,93.625
1,2026-04-06,LABORAL,11:30,84.0,103.92543,100.1
1,2026-04-06,LABORAL,12:00,110.0,105.81328,110.70833333333333
1,2026-04-06,LABORAL,12:30,165.0,127.29464,130.91666666666666
1,2026-04-06,LABORAL,13:00,105.0,118.74172,138.9
1,2026-04-06,LABORAL,13:30,192.0,134.09738,135.725
1,2026-04-06,LABORAL,14:00,174.0,132.26102,148.25423728813558
1,2026-04-06,LABORAL,14:30,113.0,141.09822,150.93333333333334
1,2026-04-06,LABORAL,15:00,217.0,152.39456,168.26666666666668
1,2026-04-06,LABORAL,15:30,135.0,139.9948,174.56302521008402
1,2026-04-06,LABORAL,16:00,151.0,142.00699,143.21848739495798
1,2026-04-06,LABORAL,16:30,118.0,115.24755,115.16806722689076
