split,fold,train_start,train_end,eval_start,eval_end,run_id,config
validation,1,2024-04-16 04:00:00,2024-10-15 04:00:00,2024-10-15 04:00:00,2024-10-29 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,2,2024-04-16 04:00:00,2024-10-29 04:00:00,2024-10-29 04:00:00,2024-11-12 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,3,2024-04-16 04:00:00,2024-11-12 04:00:00,2024-11-12 04:00:00,2024-11-26 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,4,2024-04-16 04:00:00,2024-11-26 04:00:00,2024-11-26 04:00:00,2024-12-10 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,5,2024-04-16 04:00:00,2024-12-10 04:00:00,2024-12-10 04:00:00,2024-12-24 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,6,2024-04-16 04:00:00,2024-12-24 04:00:00,2024-12-24 04:00:00,2025-01-07 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,7,2024-04-16 04:00:00,2025-01-07 04:00:00,2025-01-07 04:00:00,2025-01-21 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,8,2024-04-16 04:00:00,2025-01-21 04:00:00,2025-01-21 04:00:00,2025-02-04 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,9,2024-04-16 04:00:00,2025-02-04 04:00:00,2025-02-04 04:00:00,2025-02-18 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
validation,10,2024-04-16 04:00:00,2025-02-18 04:00:00,2025-02-18 04:00:00,2025-03-04 04:00:00,baselines_full_20260718,"{'test_weeks': 10, 'validation_weeks': 2, 'step_weeks': 2, 'min_train_weeks': 26}"
