split,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_20260720_164609,1544,1919,375,0,36.08155289201961,45.14642854514956,35.928661613421546,35.6844935659426,27.860430263644606
test_final,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_20260720_164609,1583,1976,393,0,38.41392300748946,49.95711813433539,34.15008638549418,32.5810330694684,27.098396409169226
test_final,naive,1,freeze_20260610_192142,baselines_20260720_164609,1394,1919,375,367,43.559540889526545,55.86714359211537,42.671533603332776,41.19818169482326,1.2467718794835008
test_final,naive,3,freeze_20260610_192142,baselines_20260720_164609,1443,1976,393,394,55.27927927927928,73.23090244401658,46.05788429960849,44.31407841960823,0.2993762993762994
test_final,seasonal_naive_daily,1,freeze_20260610_192142,baselines_20260720_164609,1292,1919,375,389,47.5046439628483,60.91696119301021,50.795983920553475,46.85047784800464,4.766253869969041
test_final,seasonal_naive_daily,3,freeze_20260610_192142,baselines_20260720_164609,1336,1976,393,404,53.0688622754491,68.10230284428428,51.101172669171326,45.500635340324216,6.3517964071856285
test_final,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_20260720_164609,1381,1919,375,360,42.84576393917451,55.66610659643876,44.93894041643276,41.290421627053355,1.5177407675597394
test_final,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_20260720_164609,1423,1976,393,378,47.45115952213633,62.551505130548044,44.09546258815199,39.22950448225978,1.545326774420239
validation,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_20260720_164609,13088,14612,1524,0,31.87699359551212,41.36161657832348,28.560601131373748,26.851351248007262,17.596474057192758
validation,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_20260720_164609,13297,15072,1775,0,34.3196384235365,45.849534596142405,27.765005804666625,25.095257982438195,13.427415312949076
validation,naive,1,freeze_20260610_192142,baselines_20260720_164609,12189,14612,1524,1597,43.956190007383704,57.212696500914326,38.50916959716636,36.27786610187395,2.8789892526048075
validation,naive,3,freeze_20260610_192142,baselines_20260720_164609,12366,15072,1775,1829,53.00638848455442,70.21719441185539,40.58636066019205,37.15632734087407,0.826863981885816
validation,seasonal_naive_daily,1,freeze_20260610_192142,baselines_20260720_164609,11933,14612,1524,1644,52.58191569596916,68.0907183942907,49.58779696840071,44.15945994640002,3.3203720774323306
validation,seasonal_naive_daily,3,freeze_20260610_192142,baselines_20260720_164609,12107,15072,1775,1855,60.20847443627653,79.40669457694302,51.18235659507289,43.92970225547235,3.6400429503592964
validation,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_20260720_164609,12329,14612,1524,1550,41.39354367750831,54.804113670164924,37.52020843271678,33.90859699584532,0.33798361586503367
validation,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_20260720_164609,12452,15072,1775,1788,46.398570510761324,62.57439709545704,37.69728638868079,32.80641007004697,-0.030436877610022485
