ruta_en_paquete,ruta_original,tipo_archivo,tama?o_bytes,fecha_modificacion,prop?sito,copiado_completo,observaciones
revision_modelado/configs/targets.yaml,configs/modeling/targets.yaml,configuracion,612,2026-07-18 17:38:20,configuracion reproducible de modelado,True,
revision_modelado/configs/backtesting.yaml,configs/modeling/backtesting.yaml,configuracion,111,2026-07-18 17:38:21,definicion o visualizacion de particiones temporales,True,
revision_modelado/configs/models.yaml,configs/modeling/models.yaml,configuracion,421,2026-07-18 17:38:22,configuracion reproducible de modelado,True,
revision_modelado/src/proyecto_grado/modeling/config.py,src/proyecto_grado/modeling/config.py,codigo_python,6279,2026-07-18 17:37:25,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/dataset.py,src/proyecto_grado/modeling/dataset.py,codigo_python,7616,2026-07-18 17:44:27,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/features.py,src/proyecto_grado/modeling/features.py,codigo_python,5099,2026-07-18 17:44:27,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/splits.py,src/proyecto_grado/modeling/splits.py,codigo_python,5092,2026-07-18 17:44:33,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/baselines.py,src/proyecto_grado/modeling/baselines.py,codigo_python,4498,2026-07-18 17:44:27,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/evaluate.py,src/proyecto_grado/modeling/evaluate.py,codigo_python,2661,2026-07-18 17:45:18,codigo fuente o script de la fase de modelado,True,
revision_modelado/src/proyecto_grado/modeling/backtesting.py,src/proyecto_grado/modeling/backtesting.py,codigo_python,6218,2026-07-18 17:44:27,definicion o visualizacion de particiones temporales,True,
revision_modelado/src/proyecto_grado/modeling/error_analysis.py,src/proyecto_grado/modeling/error_analysis.py,codigo_python,6512,2026-07-18 17:44:27,analisis de errores,True,
revision_modelado/src/proyecto_grado/modeling/__init__.py,src/proyecto_grado/modeling/__init__.py,codigo_python,74,2026-07-18 17:37:23,codigo fuente o script de la fase de modelado,True,
revision_modelado/scripts/build_modeling_dataset.py,scripts/build_modeling_dataset.py,codigo_python,4013,2026-07-18 17:44:27,codigo fuente o script de la fase de modelado,True,
revision_modelado/scripts/run_baselines.py,scripts/run_baselines.py,codigo_python,175,2026-07-18 17:44:27,codigo fuente o script de la fase de modelado,True,
