split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,test_final,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,1544,1919,375,0,36.08155289201961,45.14642854514956,35.928661613421546,35.6844935659426,27.860430263644606
test_final,test_final,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,1583,1976,393,0,38.41392300748946,49.95711813433539,34.15008638549418,32.5810330694684,27.098396409169226
test_final,test_final,naive,1,freeze_20260610_192142,baselines_full_20260718,1394,1919,375,367,43.559540889526545,55.86714359211537,42.671533603332776,41.19818169482326,1.2467718794835008
test_final,test_final,naive,3,freeze_20260610_192142,baselines_full_20260718,1443,1976,393,394,55.27927927927928,73.23090244401658,46.05788429960849,44.31407841960823,0.2993762993762994
test_final,test_final,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,1292,1919,375,389,47.5046439628483,60.91696119301021,50.795983920553475,46.85047784800464,4.766253869969041
test_final,test_final,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,1336,1976,393,404,53.0688622754491,68.10230284428428,51.101172669171326,45.500635340324216,6.3517964071856285
test_final,test_final,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,1381,1919,375,360,42.84576393917451,55.66610659643876,44.93894041643276,41.290421627053355,1.5177407675597394
test_final,test_final,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,1423,1976,393,378,47.45115952213633,62.551505130548044,44.09546258815199,39.22950448225978,1.545326774420239
validation,1,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,361,386,25,0,28.02238423884812,36.48322326097036,21.185448728632807,19.18795301724962,1.321487772911022
validation,1,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,373,398,25,0,31.688272057207616,41.256361103386226,25.086187624222138,20.291722565775277,-0.17117189993373766
validation,1,naive,1,freeze_20260610_192142,baselines_full_20260718,342,386,25,26,47.00877192982456,61.6619960298559,33.8530752055865,32.1347191684989,5.330409356725146
validation,1,naive,3,freeze_20260610_192142,baselines_full_20260718,351,398,25,28,57.623931623931625,75.08392265722031,40.51056943776583,35.38550359523435,0.19373219373219372
validation,1,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,338,386,25,34,66.31656804733728,86.27345749102456,55.40242177285886,45.391033169980965,-5.665680473372781
validation,1,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,344,398,25,37,75.63953488372093,100.82375827431815,58.952041060669124,47.596400087802735,-5.8604651162790695
validation,1,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,343,386,25,32,44.160349854227405,59.05640432779734,34.97231694042768,29.74958263772955,-5.769679300291545
validation,1,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,348,398,25,38,49.514367816091955,69.10368272036767,37.27783233497092,30.69400406142007,-10.232758620689655
validation,10,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,360,386,26,0,30.913164214589447,40.613176313871215,25.8260018048465,24.108531265033687,14.676747857841328
validation,10,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,374,398,24,0,35.64715640642427,48.26249743299082,26.816421567909643,24.824572192538273,9.104235934832275
validation,10,naive,1,freeze_20260610_192142,baselines_full_20260718,337,386,26,33,47.34421364985163,61.72262545113908,37.601839600384665,36.22184889211769,3.9376854599406528
validation,10,naive,3,freeze_20260610_192142,baselines_full_20260718,355,398,24,31,55.28169014084507,74.60738550459321,40.05820682988268,37.12496689493398,0.504225352112676
validation,10,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,335,386,26,29,57.829850746268654,74.43448486631335,49.46138843193337,44.85529057652234,3.011940298507463
validation,10,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,347,398,24,31,60.85878962536023,79.14266838851327,49.58244124138314,42.31300967761326,5.498559077809798
validation,10,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,349,386,26,23,41.06303724928367,52.6850130655692,33.40410919633815,31.265817261541144,0.4040114613180516
validation,10,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,362,398,24,24,44.469613259668506,58.94256967029022,32.917722531618,30.18733474600109,0.6022099447513812
validation,11,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,364,386,22,0,30.654927083358846,39.71826008231573,26.409905201520306,24.402198828575283,14.904283540353156
validation,11,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,369,398,29,0,36.45394251718313,50.94686634830384,26.87511505196364,25.534367480714838,11.012911839883099
validation,11,naive,1,freeze_20260610_192142,baselines_full_20260718,342,386,22,30,44.833333333333336,58.60261156186937,37.07143522212881,35.47581036995905,4.815789473684211
validation,11,naive,3,freeze_20260610_192142,baselines_full_20260718,348,398,29,31,55.34770114942529,75.07266594715945,40.66799737781603,37.31161132850335,0.6580459770114943
validation,11,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,339,386,22,27,54.985250737463126,70.05408782675667,50.41734847473241,43.36295538082166,1.392330383480826
validation,11,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,346,398,29,30,60.138728323699425,80.67357332811044,50.481748428534615,42.020234657404224,1.716763005780347
validation,11,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,347,386,22,24,39.389048991354464,51.754352167713506,32.04976680528403,30.344337632928536,0.3919308357348703
validation,11,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,358,398,29,22,41.60335195530726,57.05324377893271,31.50090288130339,28.5008993838264,-0.5810055865921788
validation,12,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,351,383,32,0,28.022491766890045,37.214821606595514,26.50599279426152,23.23073833296742,13.860809410222013
